pathway_id	gene_id	counts
hsa00330	2805	10
hsa00330	2806	11
hsa00330	283208	2
hsa00330	29920	3
hsa00330	383	4
hsa00330	384	4
hsa00330	4128	13
hsa00330	4129	13
hsa00330	435	4
hsa00330	445	4
hsa00330	4842	9
hsa00330	4843	14
hsa00330	4846	10
hsa00330	4942	2
hsa00330	4953	3
hsa00330	5009	3
hsa00330	501	15
hsa00330	5033	2
hsa00330	51056	3
hsa00330	54498	2
hsa00330	548596	2
hsa00330	55748	4
hsa00330	5625	2
hsa00330	57571	3
hsa00330	5831	3
hsa00330	5832	3
hsa00330	58510	2
hsa00330	6303	2
hsa00330	65263	3
hsa00330	6611	5
hsa00330	6723	5
hsa00330	79814	2
hsa00330	84735	4
hsa00330	8659	3
hsa00330	8974	2
hsa00330	95	4
hsa00340	10841	3
hsa00340	131669	2
hsa00340	144193	2
hsa00340	1644	10
hsa00340	217	13
hsa00340	218	9
hsa00340	219	13
hsa00340	220	9
hsa00340	221	9
hsa00340	222	9
hsa00340	223	12
hsa00340	224	13
hsa00340	26	3
hsa00340	3034	2
hsa00340	3067	2
hsa00340	3176	1
hsa00340	4128	13
hsa00340	4129	13
hsa00340	443	3
hsa00340	501	15
hsa00340	55748	4
hsa00340	57571	3
hsa00340	84735	4
hsa00350	124	8
hsa00350	125	8
hsa00350	126	8
hsa00350	127	8
hsa00350	128	10
hsa00350	130	8
hsa00350	131	8
hsa00350	1312	4
hsa00350	1621	2
hsa00350	1638	3
hsa00350	1644	10
hsa00350	218	9
hsa00350	2184	2
hsa00350	220	9
hsa00350	221	9
hsa00350	222	9
hsa00350	259307	8
hsa00350	2805	10
hsa00350	2806	11
hsa00350	2954	2
hsa00350	3081	2
hsa00350	314	5
hsa00350	316	8
hsa00350	3242	4
hsa00350	4128	13
hsa00350	4129	13
hsa00350	4282	2
hsa00350	5409	2
hsa00350	6898	7
hsa00350	7054	8
hsa00350	7173	7
hsa00350	7299	4
hsa00350	7306	3
hsa00350	81889	2
hsa00350	8639	5
hsa00360	10249	1
hsa00360	1644	10
hsa00360	218	9
hsa00360	220	9
hsa00360	221	9
hsa00360	222	9
hsa00360	259307	8
hsa00360	2805	10
hsa00360	2806	11
hsa00360	314	5
hsa00360	3242	4
hsa00360	4128	13
hsa00360	4129	13
hsa00360	4282	2
hsa00360	5053	4
hsa00360	6898	7
hsa00360	8639	5
hsa00360	9588	2
hsa00380	11185	2
hsa00380	121278	3
hsa00380	125061	3
hsa00380	130013	2
hsa00380	15	2
hsa00380	1543	7
hsa00380	1544	9
hsa00380	1545	6
hsa00380	1644	10
hsa00380	169355	3
hsa00380	1892	11
hsa00380	1962	12
hsa00380	217	13
hsa00380	219	13
hsa00380	223	12
hsa00380	224	13
hsa00380	23498	2
hsa00380	259307	8
hsa00380	26	3
hsa00380	2639	4
hsa00380	3030	12
hsa00380	3033	8
hsa00380	316	8
hsa00380	3620	3
hsa00380	38	13
hsa00380	39	14
hsa00380	4128	13
hsa00380	4129	13
hsa00380	438	2
hsa00380	4967	5
hsa00380	501	15
hsa00380	51166	6
hsa00380	55753	5
hsa00380	56267	4
hsa00380	6999	2
hsa00380	7166	3
hsa00380	847	5
hsa00380	8564	2
hsa00380	883	4
hsa00380	8942	2
hsa00400	259307	8
hsa00400	2805	10
hsa00400	2806	11
hsa00400	5053	4
hsa00400	6898	7
hsa00410	18	7
hsa00410	1806	5
hsa00410	1807	5
hsa00410	1892	11
hsa00410	1962	12
hsa00410	217	13
hsa00410	218	9
hsa00410	219	13
hsa00410	220	9
hsa00410	221	9
hsa00410	222	9
hsa00410	223	12
hsa00410	224	13
hsa00410	23417	5
hsa00410	2571	7
hsa00410	2572	7
hsa00410	26275	5
hsa00410	3030	12
hsa00410	314	5
hsa00410	34	8
hsa00410	4329	6
hsa00410	501	15
hsa00410	51733	5
hsa00410	54498	2
hsa00410	55748	4
hsa00410	57571	3
hsa00410	6611	5
hsa00410	6723	5
hsa00410	84735	4
hsa00410	8639	5
hsa00430	1036	3
hsa00430	124975	5
