mmu_geneid	mmu_counts	hsa_geneid	has_counts	dme_geneid	dme_counts
233801	2	8916	1		
234356	2	8924	1		
234407	2	8925	1		
234729	2	8930	1		
235033	2	8936	6		
235293	2	8938	1		
235386	2	8940	2		
235459	2	8942	2		
236663	2	8943	1		
236781	2	8945	7		
236899	2	8968	3		
237310	2	8969	2		
237313	2	8970	3		
237823	2	8972	4		
237928	2	8973	3		
238011	2	8974	2		
238055	2	8976	8		
238057	2	8985	2		
238463	2	8986	2		
239559	2	8989	1		
241062	2	8992	8		
241159	2	8994	1		
241391	2	8995	1		
241447	2	9001	2		
241452	2	9002	3		
241489	2	9019	1		
241568	2	9020	10		
242202	2	9021	12		
242316	2	9023	1		
242669	2	9037	1		
242700	2	9038	1		
243537	2	9039	1		
243816	2	9040	1		
244209	2	9045	1		
244701	2	9047	1		
245532	2	9051	1		
245650	2	9054	3		
245880	2	9056	1		
246277	2	9060	4		
263803	2	9061	4		
266645	2	9063	4		
268465	2	9064	1		
268656	2	9071	4		
268756	2	9073	4		
269132	2	9074	4		
269181	2	9075	4		
269378	2	9076	5		
269523	2	9080	4		
269614	2	9086	1		
269642	2	9087	1		
269941	2	9088	3		
269966	2	9091	2		
270049	2	9092	1		
270151	2	9093	1		
270685	2	9101	1		
271786	2	9103	5		
272411	2	9104	5		
272428	2	9113	1		
276846	2	9114	11		
280408	2	9125	1		
319162	2	9126	2		
319163	2	9127	2		
319164	2	9128	1		
319165	2	9129	1		
319166	2	9131	1		
319167	2	9132	1		
319168	2	9133	6		
319169	2	9134	11		
319170	2	9135	1		
319171	2	9138	4		
319172	2	9140	3		
319173	2	9146	2		
319176	2	9156	1		
319191	2	9162	4		
319192	2	9167	6		
319554	2	9170	3		
319945	2	9175	1		
320302	2	9177	1		
320438	2	9179	1		
320452	2	9180	3		
320581	2	9181	1		
320685	2	9184	2		
320795	2	9187	1		
320951	2	9197	2		
326622	2	9200	4		
327826	2	9210	1		
327942	2	9218	1		
329244	2	9223	2		
329777	2	9227	2		
331401	2	9229	1		
331487	2	9230	3		
332579	2	9232	3		
333452	2	9241	1		
333883	2	9245	2		
378435	2	9246	2		
380660	2	9248	1		
380959	2	9249	2		
380997	2	9252	7		
381810	2	9253	1		
381853	2	9254	7		
381903	2	9261	4		
382035	2	9265	1		
384281	2	9266	1		
385328	2	9267	1		
387140	2	9271	1		
387144	2	9282	1		
404634	2	9287	1		
407786	2	9294	1		
408191	2	9296	8		
408192	2	9306	1		
545123	2	9311	1		
545486	2	9320	1		
545975	2	9322	1		
546726	2	9331	2		
547154	2	9334	1		
547160	2	9337	1		
547210	2	9340	1		
619326	2	9341	2		
621580	2	9342	1		
621823	2	9343	1		
621893	2	9344	1		
623661	2	9348	2		
624153	2	9349	1		
624957	2	9350	1		
665433	2	9351	1		
665563	2	9353	1		
667373	2	9354	1		
673094	2	9365	4		
723893	2	9367	1		
100037258	2	9369	1		
100039319	2	9370	5		
100039707	2	9372	2		
100039863	2	9373	1		
100039939	2	9374	4		
100040048	2	9376	1		
100040961	2	9377	7		
100041579	2	9378	1		
100041953	2	9379	1		
100042355	2	9380	4		
100042840	2	9388	2		
100042922	2	9394	1		
100042927	2	9402	1		
100042929	2	9409	1		
100042931	2	9410	1		
100042939	2	9414	2		
100042943	2	9415	4		
100042944	2	9416	1		
100042946	2	9420	2		
100043508	2	9423	1		
100503605	2	9429	2		
100861978	2	9435	1		
100862247	2	9436	1		
100862468	2	9437	1		
102216272	2	9440	1		
102637973	2	9442	1		
11304	1	9446	4		
11306	1	9447	1		
11307	1	9448	1		
11419	1	9451	8		
11435	1	9453	2		
11443	1	9454	2		
11447	1	9455	2		
11448	1	9456	2		
11449	1	9459	2		
11468	1	9462	1		
11475	1	9468	2		
11487	1	9469	1		
11516	1	9470	5		
11546	1	9474	3		
11576	1	9475	15		
11603	1	9476	1		
11604	1	9479	1		
11606	1	9482	1		
11658	1	9486	1		
11682	1	9487	2		
11733	1	9488	2		
11735	1	9489	2		
11764	1	9491	1		
11765	1	9493	1		
11766	1	9500	1		
11767	1	9513	1		
11768	1	9514	2		
11769	1	9517	2		
11770	1	9519	6		
11774	1	9524	4		
11775	1	9525	1		
11776	1	9527	1		
11777	1	9530	1		
11778	1	9532	1		
11781	1	9533	6		
11782	1	9536	2		
11785	1	9538	1		
11792	1	9540	1		
11807	1	9541	1		
11814	1	9542	1		
11816	1	9545	1		
11827	1	9547	2		
11828	1	9550	8		
11830	1	9551	2		
11832	1	9553	1		
11833	1	9554	3		
11834	1	9555	2		
11837	1	9560	6		
11838	1	9562	1		
11842	1	9563	3		
11844	1	9564	6		
11854	1	9568	5		
